        n                   pHS                nHS
        1.0000000000        0.0000604638       -0.0000132909
        2.0000000000        0.0006425870       -0.0006065465
        3.0000000000        0.0012546171       -0.0012191480
        4.0000000000        0.0018091542       -0.0016651568
        5.0000000000        0.0025027718       -0.0022212991
        6.0000000000        0.0032206504       -0.0027719347
        7.0000000000        0.0039507453       -0.0033214956
        8.0000000000        0.0046800356       -0.0038492344
        9.0000000000        0.0054252744       -0.0043921410
       10.0000000000        0.0061550490       -0.0049149431
       11.0000000000        0.0069091455       -0.0054204636
       12.0000000000        0.0077018435       -0.0059098615
       13.0000000000        0.0084794443       -0.0063848258
       14.0000000000        0.0092664277       -0.0068458687
       15.0000000000        0.0099083092       -0.0072748112
       16.0000000000        0.0104517862       -0.0076805791
       17.0000000000        0.0111507708       -0.0080948714
       18.0000000000        0.0118652340       -0.0085111503
       19.0000000000        0.0125610800       -0.0089308098
       20.0000000000        0.0132796383       -0.0093571935
       21.0000000000        0.0140117072       -0.0097879423
       22.0000000000        0.0147353187       -0.0102228131
       23.0000000000        0.0154452380       -0.0106714219
       24.0000000000        0.0161811877       -0.0111325420
       25.0000000000        0.0169187579       -0.0116025824
       26.0000000000        0.0176388416       -0.0120971799
       27.0000000000        0.0183537379       -0.0126086418
       28.0000000000        0.0190631077       -0.0131187998
       29.0000000000        0.0197745636       -0.0136422999
       30.0000000000        0.0204345975       -0.0141547965
       31.0000000000        0.0209986158       -0.0146659790
       32.0000000000        0.0215437952       -0.0151965413
       33.0000000000        0.0220842864       -0.0157286860
       34.0000000000        0.0226252805       -0.0162751246
       35.0000000000        0.0231698845       -0.0168603864
       36.0000000000        0.0237302314       -0.0174532142
       37.0000000000        0.0243131798       -0.0180486869
       38.0000000000        0.0249442477       -0.0186589360
       39.0000000000        0.0255986787       -0.0193023887
       40.0000000000        0.0262503810       -0.0199665036
       41.0000000000        0.0269019622       -0.0206478890
       42.0000000000        0.0275526214       -0.0213446151
       43.0000000000        0.0282083172       -0.0220708512
       44.0000000000        0.0289033838       -0.0228194166
       45.0000000000        0.0296176057       -0.0235703569
       46.0000000000        0.0302499086       -0.0243551582
       47.0000000000        0.0308390241       -0.0251518991
       48.0000000000        0.0314311087       -0.0259511843
       49.0000000000        0.0320173241       -0.0267728437
       50.0000000000        0.0326063074       -0.0276080444
       51.0000000000        0.0331979245       -0.0284726266
       52.0000000000        0.0337899961       -0.0293715335
       53.0000000000        0.0343812332       -0.0302873179
       54.0000000000        0.0349988677       -0.0312022213
       55.0000000000        0.0356315449       -0.0321251191
       56.0000000000        0.0362777077       -0.0330678523
       57.0000000000        0.0369335078       -0.0340208784
       58.0000000000        0.0375969708       -0.0349846967
       59.0000000000        0.0382652804       -0.0359851457
       60.0000000000        0.0389393158       -0.0370052196
       61.0000000000        0.0396180078       -0.0380379744
       62.0000000000        0.0401970372       -0.0390925594
       63.0000000000        0.0406480096       -0.0401812010
       64.0000000000        0.0410934016       -0.0412781164
       65.0000000000        0.0415515378       -0.0423796475
       66.0000000000        0.0420058072       -0.0435163677
       67.0000000000        0.0424590744       -0.0447097048
       68.0000000000        0.0429114252       -0.0459203050
       69.0000000000        0.0434119590       -0.0471252240
       70.0000000000        0.0439404957       -0.0483331271
       71.0000000000        0.0444905050       -0.0495472588
       72.0000000000        0.0450615212       -0.0507678501
       73.0000000000        0.0456492081       -0.0519949794
       74.0000000000        0.0462515056       -0.0532286055
       75.0000000000        0.0467926189       -0.0544823669
       76.0000000000        0.0472547114       -0.0557607301
       77.0000000000        0.0477049351       -0.0570552759
       78.0000000000        0.0481502265       -0.0584229715
       79.0000000000        0.0486078113       -0.0598346926
       80.0000000000        0.0490921661       -0.0612727627
       81.0000000000        0.0496180467       -0.0627075657
       82.0000000000        0.0501681902       -0.0641480014
       83.0000000000        0.0507396273       -0.0655951723
       84.0000000000        0.0513285697       -0.0670491159
       85.0000000000        0.0519343354       -0.0685090572
       86.0000000000        0.0525659174       -0.0699684843
       87.0000000000        0.0532098562       -0.0714353472
       88.0000000000        0.0538625494       -0.0729105026
       89.0000000000        0.0545220301       -0.0743942112
       90.0000000000        0.0551856346       -0.0759523883
       91.0000000000        0.0558581427       -0.0775207728
       92.0000000000        0.0563955680       -0.0791555941
       93.0000000000        0.0568363480       -0.0808350220
       94.0000000000        0.0572566688       -0.0825331286
       95.0000000000        0.0576588809       -0.0842503086
       96.0000000000        0.0580572374       -0.0859807432
       97.0000000000        0.0584943891       -0.0877030343
       98.0000000000        0.0590074398       -0.0893983319
       99.0000000000        0.0595535189       -0.0910883173
      100.0000000000        0.0601278879       -0.0927740932
      101.0000000000        0.0607296005       -0.0944548026
      102.0000000000        0.0584840178       -0.0925929323
      103.0000000000        0.0574644394       -0.0920541212
      104.0000000000        0.0563531965       -0.0916167125
