        n                 displacement
        0.0000000000       -6.1471617623
        0.5000000000       -6.1470879844
        1.0000000000       -6.1470248289
        1.5000000000       -6.1468027303
        2.0000000000       -6.1465363503
        2.5000000000       -6.1460557503
        3.0000000000       -6.1453875013
        3.5000000000       -6.1443504370
        4.0000000000       -6.1428117029
        4.5000000000       -6.1404868738
        5.0000000000       -6.1369455521
        5.5000000000       -6.1316470009
        6.0000000000       -6.1236103786
        6.5000000000       -6.1115152096
        7.0000000000       -6.0933377465
        7.5000000000       -6.0667501580
        8.0000000000       -6.0277138335
        8.5000000000       -5.9708608320
        9.0000000000       -5.8858930454
        9.5000000000       -5.7567927000
       10.0000000000       -5.5690720263
       10.5000000000       -5.3175070604
       11.0000000000       -5.0090183097
       11.5000000000       -4.6464185046
       12.0000000000       -4.2505533407
       12.5000000000       -3.8429279742
       13.0000000000       -3.4317322272
       13.5000000000       -3.0173969723
       14.0000000000       -2.6012223086
       14.5000000000       -2.1869228861
       15.0000000000       -1.7783794586
       15.5000000000       -1.3791406395
       16.0000000000       -0.9942543155
       16.5000000000       -0.6416196508
       17.0000000000       -0.3513875637
       17.5000000000       -0.1466545032
       18.0000000000       -0.0264620315
       18.5000000000        0.0226735979
       19.0000000000        0.0281974789
       19.5000000000        0.0189407951
       20.0000000000        0.0088132167
       20.5000000000        0.0034474307
       21.0000000000        0.0014568576
       21.5000000000        0.0010433749
       22.0000000000        0.0011082312
       22.5000000000        0.0011939039
       23.0000000000        0.0012322971
       23.5000000000        0.0012678401
       24.0000000000        0.0012614569
       24.5000000000        0.0012792660
       25.0000000000        0.0012654939
