       pos                  sx                  sy                  sxb                  syb
       64.3000000000       48.4089447272       15.4329979441        6.1543714335       28.7642425095
       67.2842465753       41.4168919762       13.5635096251        7.0758310105       28.5916857994
       70.2684931507       35.5552523296       11.9197279597        7.3771628377       26.6420256782
       73.2527397260       31.1705790860       10.6078981734        7.1618414439       23.5399189284
       76.2369863014       28.0107811042        9.5904640142        6.6281432755       19.9276672030
       79.2212328767       25.8372118271        8.8310804502        5.9235715211       16.2410476119
       82.2054794521       24.4317346418        8.2849214508        5.1541702740       12.7589743145
       85.1897260274       23.6070794904        7.9100018364        4.3922375947        9.6441731076
       88.1739726027       23.2052942862        7.6670887318        3.6836167954        6.9755336302
       91.1582191781       23.0986855566        7.5229062757        3.0541396093        4.7737321190
       94.1424657534       23.1860019689        7.4493633271        2.5150874010        3.0210308635
       97.1267123288       23.3900588755        7.4241893703        2.0676641878        1.6763080992
      100.1109589041       23.6535620857        7.4298748622        1.7065302053        0.6861029166
      103.0952054795       23.9359984701        7.4534191797        1.4225058655       -0.0075132401
      106.0794520548       24.2100231279        7.4853343636        1.2045601019       -0.4616048029
      109.0636986301       24.4587071783        7.5191648647        1.0412123561       -0.7289812291
      112.0479452055       24.6728203777        7.5507000439        0.9214627494       -0.8562802429
      115.0321917808       24.8487930983        7.5775282962        0.8353598381       -0.8831132199
      118.0164383562       24.9868902011        7.5984838092        0.7742960654       -0.8419591215
      121.0006849315       25.0898898170        7.6133191391        0.7311094481       -0.7585463297
      123.9849315068       25.1619874610        7.6223549611        0.7000525938       -0.6525320148
      126.9691780822       25.2080488962        7.6262754805        0.6766786768       -0.5383304911
      129.9534246575       25.2330394565        7.6259305707        0.6576806748       -0.4259891168
      132.9376712329       25.2416751518        7.6222280233        0.6407112724       -0.3220390734
      135.9219178082       25.2381889072        7.6160380098        0.6242018055       -0.2302774711
      138.9061643836       25.2262244778        7.6081500840        0.6071927149       -0.1524546090
      141.8904109589       25.2087932404        7.5992392025        0.5891825089       -0.0888564015
      144.8746575342       25.1882949412        7.5898599235        0.5699988481       -0.0387808934
      147.8589041096       25.1665645689        7.5804447863        0.5496924735       -0.0009154355
      150.8431506849       25.1449440355        7.5713159587        0.5284531042        0.0263755295
      153.8273972603       25.1243579422        7.5626972671        0.5065451981        0.0448395697
      156.8116438356       25.1053928368        7.5547310542        0.4842609826        0.0561895220
      159.7958904110       25.0883696916        7.5474932476        0.4618878749        0.0620082928
      162.7801369863       25.0734102528        7.5410089915        0.4396875107        0.0636938153
      165.7643835616       25.0604930037        7.5352656799        0.4178837656        0.0624340160
      168.7486301370       25.0495002437        7.5302247863        0.3966574928        0.0592032895
      171.7328767123       25.0402551868        7.5258311601        0.3761460216        0.0547734441
      174.7171232877       25.0325508856        7.5220207025        0.3564458332        0.0497335997
      177.7013698630       25.0261713200        7.5187260008        0.3376171548        0.0445147818
      180.6856164384       25.0209063494        7.5158805506        0.3196895211        0.0394161194
      183.6698630137       25.0165613389        7.5134215453        0.3026676076        0.0346304715
      186.6541095890       25.0129628308        7.5112916653        0.2865368632        0.0302680879
      189.6383561644       25.0099610697        7.5094399867        0.2712686352        0.0263774850
      192.6226027397       25.0074303623        7.5078222920        0.2568246231        0.0229631749
      195.6068493151       25.0052678909        7.5064009220        0.2431605896        0.0200001937
      198.5910958904       25.0033916074        7.5051443393        0.2302293337        0.0174455986
      201.5753424658       25.0017376034        7.5040265136        0.2179829736        0.0152472294
      204.5595890411       25.0002573092        7.5030262199        0.2063746178        0.0133501043
      207.5438356164       24.9989147300        7.5021263207        0.1953595140        0.0117008423
      210.5280821918       24.9976838828        7.5013130716        0.1848957713        0.0102504964
      213.5123287671       24.9965465147        7.5005754884        0.1749447440        0.0089561518
      216.4965753425       24.9954901492        7.4999047827        0.1654711617        0.0077816028
      219.4808219178       24.9945064665        7.4992938833        0.1564430742        0.0066973749
      222.4650684931       24.9935900051        7.4987370344        0.1478316728        0.0056803087
      225.4493150685       24.9927371536        7.4982294726        0.1396110352        0.0047128803
      228.4335616438       24.9919453960        7.4977671704        0.1317578318        0.0037823884
      231.4178082192       24.9912127717        7.4973466409        0.1242510197        0.0028801045
      234.4020547945       24.9905375070        7.4969647911        0.1170715458        0.0020004522
      237.3863013699       24.9899177848        7.4966188172        0.1102020703        0.0011402593
      240.3705479452       24.9893516163        7.4963061305        0.1036267189        0.0002981040
      243.3547945205       24.9888367877        7.4960243095        0.0973308663       -0.0005262327
      246.3390410959       24.9883708589        7.4957710693        0.0913009528       -0.0013322095
      249.3232876712       24.9879511945        7.4955442436        0.0855243308       -0.0021188692
      252.3075342466       24.9875750134        7.4953417764        0.0799891405       -0.0028850954
      255.2917808219       24.9872394458        7.4951617183        0.0746842087       -0.0036297930
      258.2760273973       24.9869415915        7.4950022254        0.0695989700       -0.0043520082
      261.2602739726       24.9866785724        7.4948615610        0.0647234038       -0.0050509987
      264.2445205479       24.9864475786        7.4947380953        0.0600479860       -0.0057262662
      267.2287671233       24.9862459048        7.4946303063        0.0555636510       -0.0063775622
      270.2130136986       24.9860709785        7.4945367785        0.0512617617       -0.0070048744
      273.1972602740       24.9859203785        7.4944562012        0.0471340858       -0.0076084019
      276.1815068493       24.9857918470        7.4943873651        0.0431727760       -0.0081885233
      279.1657534247       24.9856832937        7.4943291583        0.0393703532       -0.0087457632
      282.1500000000       24.9855927956        7.4942805617        0.0357196914       -0.0092807583
      285.1342465753       24.9855185924        7.4942406432        0.0322140039       -0.0097942265
      288.1184931507       24.9854590790        7.4942085522        0.0288468299       -0.0102869395
      291.1027397260       24.9854127957        7.4941835135        0.0256120219       -0.0107596991
      294.0869863014       24.9853784175        7.4941648213        0.0225037324       -0.0112133184
      297.0712328767       24.9853547432        7.4941518338        0.0195164017       -0.0116486061
      300.0554794521       24.9853406838        7.4941439668        0.0166447450       -0.0120663556
      303.0397260274       24.9853352520        7.4941406894        0.0138837401       -0.0124673363
      306.0239726027       24.9853375518        7.4941415183        0.0112286148       -0.0128522885
      309.0082191781       24.9853467691        7.4941460139        0.0086748350       -0.0132219197
      311.9924657534       24.9853621634        7.4941537757        0.0062180927       -0.0135769032
      314.9767123288       24.9853830600        7.4941644388        0.0038542950       -0.0139178781
      317.9609589041       24.9854088432        7.4941776706        0.0015795525       -0.0142454494
      320.9452054795       24.9854389503        7.4941931675       -0.0006098307       -0.0145601897
      323.9294520548       24.9854728668        7.4942106527       -0.0027173672       -0.0148626409
      326.9136986301       24.9855101214        7.4942298731       -0.0047463962       -0.0151533159
      329.8979452055       24.9855502822        7.4942505978       -0.0067000921       -0.0154327010
      332.8821917808       24.9855929534        7.4942726157       -0.0085814734       -0.0157012573
      335.8664383562       24.9856377721        7.4942957342       -0.0103934109       -0.0159594234
      338.8506849315       24.9856844054        7.4943197773       -0.0121386351       -0.0162076166
      341.8349315068       24.9857325487        7.4943445843       -0.0138197434       -0.0164462349
      344.8191780822       24.9857819228        7.4943700087       -0.0154392075       -0.0166756588
      347.8034246575       24.9858322723        7.4943959168       -0.0169993793       -0.0168962521
      350.7876712329       24.9858833637        7.4944221869       -0.0185024972       -0.0171083639
      353.7719178082       24.9859349836        7.4944487080       -0.0199506920       -0.0173123297
      356.7561643836       24.9859869374        7.4944753791       -0.0213459923       -0.0175084722
      359.7404109589       24.9860390471        7.4945021083       -0.0226903297       -0.0176971028
      362.7246575342       24.9860911503        7.4945288119       -0.0239855436       -0.0178785223
      365.7089041096       24.9861430985        7.4945554138       -0.0252333859       -0.0180530215
      368.6931506849       24.9861947554        7.4945818445       -0.0264355253       -0.0182208822
