       zn                  xn                  sxb                  syb
      -50.0000000000        0.0000000000      -21.8766258772      -41.4925991925
      -49.9698133992        1.7371667570      -21.8817360544      -41.5235508805
      -49.8793382788        3.4715431963      -21.8970706412      -41.6189056127
      -49.7288261558        5.2003700074      -21.9226081980      -41.7858259456
      -49.5186881035        6.9209483274      -21.9584937927      -42.0351860700
      -49.2494832130        8.6306661866      -22.0054042190      -42.3801741957
      -48.9219034543       10.3270208608      -22.0648019955      -42.8346826125
      -48.5367558972       12.0076361313      -22.1390956854      -43.4117068044
      -48.0949435805       13.6702743921      -22.2316283414      -44.1219756024
      -47.5974456516       15.3128430746      -22.3464852334      -44.9729423718
      -47.0452981471       16.9333965558      -22.4881292449      -45.9682027879
      -46.4395756738       18.5301325002      -22.6609550299      -47.1073472705
      -45.7813751952       20.1013850909      -22.8687684702      -48.3862020594
      -45.0718020763       21.6456145164      -23.1143378843      -49.7973476818
      -44.3119580319       23.1613981780      -23.3989457961      -51.3307789146
      -43.5029328598       24.6474101477      -23.7222049471      -52.9750325322
      -42.6457979136       26.1024119609      -24.0816412030      -54.7174889029
      -41.7416011266       27.5252381315      -24.4727206166      -56.5476294345
      -40.7913671424       28.9147776496      -24.8899407642      -58.4517917460
      -39.7960968503       30.2699632868      -25.3316198510      -60.4364071427
      -38.7567689216       31.5897588318      -25.7466569093      -62.4750396685
      -37.6743455830       32.8731454392      -26.1366041967      -64.6346045456
      -36.5497761795       34.1191128690      -26.6307969590      -66.9971569173
      -35.3840052091       35.3266496588      -27.3359150238      -69.4413939778
      -34.1779789746       36.4947359639      -28.1245543582      -71.9159735432
      -32.9326545516       37.6223372980      -28.8661841224      -74.4536119917
      -31.6490086460       38.7084001541      -29.5809777266      -77.0243540691
      -30.3280490217       39.7518482310      -30.2510129291      -79.5925369370
      -28.9708208828       40.7515832007      -30.8558047139      -82.1241236054
      -27.5784202691       41.7064828282      -31.3755901841      -84.5801105391
      -26.1520053326       42.6154033052      -31.7924644015      -86.9160731143
      -24.6928022415       43.4771838700      -32.0894601275      -89.0796303737
      -23.2021173886       44.2906507767      -32.2508304857      -91.0097896071
      -21.6813472914       45.0546243701      -32.2615605341      -92.6362158299
      -20.1319849492       45.7679274254      -32.1091586620      -93.8802819341
      -18.5556271180       46.4293947649      -31.7838132982      -94.6571474518
      -16.9539799322       47.0378843524      -31.2839566276      -94.8825311092
      -15.3288617269       47.5922892321      -30.6188232092      -94.4826751636
      -13.6822051933       48.0915508120      -29.8240706711      -93.4156175150
      -12.0160557877       48.5346721694      -28.9723060763      -91.7028306980
      -10.3325686708       48.9207320163      -28.2133188360      -89.4840323125
       -8.6340026721       49.2488984240      -27.7977128505      -87.1013981031
       -6.9227114357       49.5184416780      -28.1251591857      -85.1764066763
       -5.2011323634       49.7287464026      -29.6018609259      -84.7067191143
       -3.4717730944       49.8793222440      -31.5174386523      -86.4227060701
       -1.7371958007       49.9698123821      -26.1519116463      -88.4114313120
        0.0000000000       50.0000000000      -19.9340029326      -88.9653405012
