       zn                  xn                  sx                  sy
      -50.0000000000        0.0000000000        5.2375400351        1.0534305023
      -49.9698133992        1.7371667570        5.4146495106        1.1958055331
      -49.8793382788        3.4715431963        5.9441939497        1.6179814042
      -49.7288261558        5.2003700074        6.8208563423        2.3054890700
      -49.5186881035        6.9209483274        8.0357428498        3.2353765780
      -49.2494832130        8.6306661866        9.5763326453        4.3778654160
      -48.9219034543       10.3270208608       11.4265627415        5.6983427116
      -48.5367558972       12.0076361313       13.5670688611        7.1594069496
      -48.0949435805       13.6702743921       15.9756023438        8.7227674632
      -47.5974456516       15.3128430746       18.6276319362       10.3509004520
      -47.0452981471       16.9333965558       21.4970564049       12.0083211584
      -46.4395756738       18.5301325002       24.5570777162       13.6625285096
      -45.7813751952       20.1013850909       27.7810167509       15.2845549633
      -45.0718020763       21.6456145164       31.1432066037       16.8492914595
      -44.3119580319       23.1613981780       34.6197820837       18.3355707292
      -43.5029328598       24.6474101477       38.1895673041       19.7259313207
      -42.6457979136       26.1024119609       41.8349473194       21.0068921814
      -41.7416011266       27.5252381315       45.5430233415       22.1672388504
      -40.7913671424       28.9147776496       49.3084153043       23.1998087295
      -39.7960968503       30.2699632868       53.1326062116       24.0985308328
      -38.7567689216       31.5897588318       57.0456504660       24.8580751781
      -37.6743455830       32.8731454392       61.1084625062       25.4288595587
      -36.5497761795       34.1191128690       64.9645000399       25.8483635817
      -35.3840052091       35.3266496588       68.4121934445       26.3079334411
      -34.1779789746       36.4947359639       71.8346399247       26.7771373149
      -32.9326545516       37.6223372980       75.3601376290       27.1073810634
      -31.6490086460       38.7084001541       78.9034004819       27.2878532706
      -30.3280490217       39.7518482310       82.4335725408       27.3225487439
      -28.9708208828       40.7515832007       85.9266962910       27.2131240889
      -27.5784202691       41.7064828282       89.3602073570       26.9617664979
      -26.1520053326       42.6154033052       92.7093389002       26.5728907059
      -24.6928022415       43.4771838700       95.9458533318       26.0528246645
      -23.2021173886       44.2906507767       99.0375387013       25.4097366791
      -21.6813472914       45.0546243701      101.9476119265       24.6537313106
      -20.1319849492       45.7679274254      104.6347493910       23.7957093291
      -18.5556271180       46.4293947649      107.0528295906       22.8485121616
      -16.9539799322       47.0378843524      109.1517289064       21.8236116709
      -15.3288617269       47.5922892321      110.8774755475       20.7355068085
      -13.6822051933       48.0915508120      112.1750413813       19.5941577326
      -12.0160557877       48.5346721694      112.9901041773       18.4199364201
      -10.3325686708       48.9207320163      113.2777401945       17.2291926619
       -8.6340026721       49.2488984240      113.0125844469       16.0864800641
       -6.9227114357       49.5184416780      112.2164811559       15.0893327191
       -5.2011323634       49.7287464026      111.0066378861       14.5658022231
       -3.4717730944       49.8793222440      109.6526273269       15.1538721956
       -1.7371958007       49.9698123821      108.5654274781       18.4678205649
        0.0000000000       50.0000000000      108.1457908161       21.1254072354
