  x		 s1                      kt
  1.5           26424.004               1.762
  1.7           26433.328               1.762
  1.8           26442.639               1.763
  2.0           26451.949               1.763
  2.1           26461.178               1.764
  2.2           26470.426               1.765
  2.4           26479.654               1.765
  2.5           26488.865               1.766
  2.7           26498.041               1.767
  2.8           26507.215               1.767
  2.9           26516.348               1.768
  3.1           26525.457               1.768
  3.2           26534.553               1.769
  3.4           26562.830               1.771
  3.5           26630.834               1.775
  3.6           26679.098               1.779
  3.8           26736.799               1.782
  3.9           26791.170               1.786
  4.1           26848.443               1.790
  4.2           26908.533               1.794
  4.3           26980.150               1.799
  4.5           27013.988               1.801
  4.6           27064.357               1.804
  4.8           27132.475               1.809
  4.9           27175.293               1.812
  5.0           27231.816               1.815
  5.2           27287.268               1.819
  5.3           27338.816               1.823
  5.5           27409.930               1.827
  5.6           27448.758               1.830
  5.7           27495.854               1.833
  5.9           27544.752               1.836
  6.0           27586.682               1.839
  6.2           27653.291               1.844
  6.3           27704.207               1.847
  6.4           27759.152               1.851
  6.6           27793.988               1.853
  6.7           27858.326               1.857
  6.9           27908.561               1.861
  7.0           27965.213               1.864
  7.1           28017.426               1.868
  7.3           28083.496               1.872
  7.4           28113.734               1.874
  7.6           28167.662               1.878
  7.7           28214.387               1.881
  7.8           28250.637               1.883
  8.0           28297.293               1.886
  8.1           28343.287               1.890
  8.3           28404.617               1.894
  8.4           28455.436               1.897
  8.5           28503.637               1.900
  8.7           28549.521               1.903
  8.8           28606.941               1.907
  9.0           28654.697               1.910
  9.1           28706.754               1.914
  9.2           28754.184               1.917
  9.4           28817.910               1.921
  9.5           28867.904               1.925
  9.7           28895.045               1.926
  9.8           28948.666               1.930
  9.9           28996.195               1.933
 10.1           29045.400               1.936
 10.2           29084.154               1.939
 10.4           29130.244               1.942
 10.5           29191.445               1.946
 10.6           29231.443               1.949
 10.8           29281.895               1.952
 10.9           29330.570               1.955
 11.1           29378.529               1.959
 11.2           29422.754               1.962
 11.3           29461.244               1.964
 11.5           29499.918               1.967
 11.6           29563.953               1.971
 11.8           29605.402               1.974
 11.9           29650.381               1.977
 12.0           29683.609               1.979
 12.2           29729.473               1.982
 12.3           29780.057               1.985
 12.5           29834.141               1.989
 12.6           29894.242               1.993
 12.7           29909.150               1.994
 12.9           29944.402               1.996
 13.0           30005.920               2.000
 13.2           30052.322               2.003
 13.3           30086.000               2.006
 13.4           30139.301               2.009
 13.6           30198.824               2.013
 13.7           30230.547               2.015
 13.9           30276.068               2.018
 14.0           30316.756               2.021
 14.1           30368.730               2.025
 14.3           30408.205               2.027
 14.4           30463.852               2.031
 14.6           30487.066               2.032
 14.7           30527.465               2.035
 14.8           30564.955               2.038
 15.0           30617.193               2.041
 15.1           30655.984               2.044
 15.3           30704.635               2.047
 15.4           30757.678               2.051
 15.5           30776.217               2.052
 15.7           30824.844               2.055
 15.8           30866.580               2.058
 16.0           30909.736               2.061
 16.1           30947.969               2.063
 16.2           30989.033               2.066
 16.4           31025.182               2.068
 16.5           31070.900               2.071
 16.7           31126.861               2.075
 16.8           31148.910               2.077
 16.9           31192.412               2.079
 17.1           31234.500               2.082
 17.2           31272.516               2.085
 17.4           31313.000               2.088
 17.5           31350.705               2.090
 17.6           31399.229               2.093
 17.8           31452.145               2.097
 17.9           31486.768               2.099
 18.1           31527.105               2.102
 18.2           31568.096               2.105
 18.3           31602.781               2.107
 18.5           31640.697               2.109
 18.6           31697.896               2.113
 18.8           31723.678               2.115
 18.9           31767.289               2.118
 19.0           31797.383               2.120
 19.2           31846.740               2.123
 19.3           31875.076               2.125
 19.5           31923.094               2.128
 19.6           31954.715               2.130
 19.7           32002.143               2.133
 19.9           32031.727               2.135
 20.0           32078.141               2.139
 20.2           32111.361               2.141
 20.3           32167.773               2.145
 20.4           32190.830               2.146
 20.6           32232.893               2.149
 20.7           32273.691               2.152
 20.9           32312.605               2.154
 21.0           32344.105               2.156
