       zn                  xn                  sx                  sy
     -100.0000000000      250.0000000000       23.4852118670      -14.0477532751
      -99.9560836464      250.0000000000       23.4815559659      -14.2001009768
      -99.8243731674      250.0000000000       23.4862371937      -14.3087186901
      -99.6049842478      250.0000000000       23.4993399766      -14.3698277135
      -99.2981095829      250.0000000000       23.5208552890      -14.3808884876
      -98.9040187090      250.0000000000       23.5506950861      -14.3394556819
      -98.4230577667      250.0000000000       23.5886918273      -14.2431998147
      -97.8556491970      250.0000000000       23.6345993122      -14.0899307787
      -97.2022913701      250.0000000000       23.6880945950      -13.8776225306
      -96.4635581479      250.0000000000       23.7487810277      -13.6044388514
      -95.6400983812      250.0000000000       23.8161923805      -13.2687598584
      -94.7326353342      250.0000000000       23.8897979954      -12.8692089533
      -93.7419660574      250.0000000000       23.9690089009      -12.4046798462
      -92.6689606834      250.0000000000       24.0531848012      -11.8743632615
      -91.5145616623      250.0000000000       24.1416418404      -11.2777729111
      -90.2797829343      250.0000000000       24.2336610249      -10.6147703079
      -88.9657090390      250.0000000000       24.3284971764       -9.8855879740
      -87.5734941624      250.0000000000       24.4253882790       -9.0908506075
      -86.1043611159      250.0000000000       24.5235650735       -8.2315937772
      -84.5596002856      250.0000000000       24.6222607512       -7.3092797351
      -82.9405684848      250.0000000000       24.7207205926       -6.3258099463
      -81.2486877442      250.0000000000       24.8182113993       -5.2835339895
      -79.4854440878      250.0000000000       24.9140305682       -4.1852545244
      -77.6523862198      250.0000000000       25.0075146631       -3.0342280487
      -75.7511241643      250.0000000000       25.0980473475       -1.8341612338
      -73.7833278511      250.0000000000       25.1850665513       -0.5892026886
      -71.7507256493      250.0000000000       25.2680707572        0.6960699409
      -69.6551028485      250.0000000000       25.3466243066        2.0166675645
      -67.4983000915      250.0000000000       25.4203616427        3.3672118940
      -65.2822117570      250.0000000000       25.4889904233        4.7419622399
      -63.0087842956      250.0000000000       25.5522934584        6.1348466896
      -60.6800145207      250.0000000000       25.6101294448        7.5394974371
      -58.2979478539      250.0000000000       25.6624324908        8.9492899751
      -55.8646765287      250.0000000000       25.7092104457       10.3573858068
      -53.3823377528      250.0000000000       25.7505420677       11.7567782839
      -50.8531118310      250.0000000000       25.7865730837       13.1403411350
      -48.2792202498      250.0000000000       25.8175112140       14.5008792144
      -45.6629237267      250.0000000000       25.8436202503       15.8311809657
      -43.0065202245      250.0000000000       25.8652132938       17.1240720787
      -40.3123429330      250.0000000000       25.8826452715       18.3724697978
      -37.5827582201      250.0000000000       25.8963048629       19.5694373342
      -34.8201635535      250.0000000000       25.9066059774       20.7082378328
      -32.0269853955      250.0000000000       25.9139789297       21.7823873508
      -29.2056770721      250.0000000000       25.9188614665       22.7857063162
      -26.3587166188      250.0000000000       25.9216897986       23.7123689536
      -23.4886045887      250.0000000000       25.9228897919       24.5569501869
      -20.5978618835      250.0000000000       25.9228684684       25.3144695544
      -17.6890275203      250.0000000000       25.9220059616       25.9804317136
      -14.7646564070      250.0000000000       25.9206480634       26.5508631403
      -11.8273170976      250.0000000000       25.9190994883       27.0223446678
       -8.8795895364      250.0000000000       25.9176179702       27.3920395578
       -5.9240627921      250.0000000000       25.9164092901       27.6577168356
       -2.9633327836      250.0000000000       25.9156233188       27.8177696703
        0.0000000000      250.0000000000       25.9153511428       27.8712286274
