       zn                  xn                  sx                  sy
      -50.0000000000        0.0000000000       25.4888008280       -8.3524493015
      -49.9708511177        1.7070555270       25.4876759927       -8.3331423432
      -49.8834384583        3.4121206866       25.4843062987       -8.2753084230
      -49.7378639409        5.1132074662       25.4787061688       -8.1792080556
      -49.5342972991        6.8083324747       25.4708995955       -8.0452742702
      -49.2729758823        8.4955192719       25.4609200660       -7.8741108727
      -48.9542043797       10.1728006738       25.4488104595       -7.6664900152
      -48.5783544646       11.8382210451       25.4346229201       -7.4233490759
      -48.1458643611       13.4898385802       25.4184186905       -7.1457868602
      -47.6572383342       15.1257275646       25.4002679157       -6.8350591273
      -47.1130460985       16.7439806296       25.3802494217       -6.4925734472
      -46.5139221589       18.3427109609       25.3584504554       -6.1198834059
      -45.8605650681       19.9200545089       25.3349663876       -5.7186821673
      -45.1537366114       21.4741721616       25.3099003866       -5.2907954056
      -44.3942609146       23.0032518971       25.2833630583       -4.8381736300
      -43.5830234954       24.5055108700       25.2554720434       -4.3628839208
      -42.7209702203       25.9791975133       25.2263515833       -3.8671010968
      -41.8091062049       27.4225935744       25.1961320515       -3.3530983408
      -40.8484946418       28.8340161181       25.1649494429       -2.8232373178
      -39.8402555612       30.2118194887       25.1329448326       -2.2799578129
      -38.7855645282       31.5543972249       25.1002637971       -1.7257669270
      -37.6856512607       32.8601839474       25.0670558048       -1.1632278699
      -36.5417982085       34.1276571667       25.0334735752       -0.5949483958
      -35.3553390534       35.3553390653       24.9996724014       -0.0235689273
      -34.1276571542       36.5417982202       24.9658094506        0.5482495854
      -32.8601839338       37.6856512726       24.9320430425        1.1178380142
      -31.5543972098       38.7855645405       24.8985319037        1.6825315543
      -30.2118194718       39.8402555740       24.8654343987        2.2396823163
      -28.8340161055       40.8484946507       24.8329077529        2.7866719529
      -27.4225935616       41.8091062133       24.8011072683        3.3209242513
      -25.9791975002       42.7209702283       24.7701855300        3.8399176254
      -24.5055108566       43.5830235029       24.7402916139        4.3411974444
      -23.0032518835       44.3942609217       24.7115702998        4.8223881264
      -21.4741721477       45.1537366180       24.6841612961        5.2812049288
      -19.9200544941       45.8605650745       24.6581984828        5.7154653699
      -18.3427109455       46.5139221650       24.6338091714        6.1231002111
      -16.7439806138       47.1130461041       24.6111133937        6.5021639320
      -15.1257275487       47.6572383392       24.5902232256        6.8508446389
      -13.4898385639       48.1458643657       24.5712421514        7.1674733443
      -11.8382210287       48.5783544686       24.5542644652        7.4505325545
      -10.1728006573       48.9542043832       24.5393747198        7.6986641121
       -8.4955192553       49.2729758852       24.5266472370        7.9106762449
       -5.1132074494       49.5342973014       24.5079226248        8.2224434336
       -6.8083324579       49.5342973014       24.5161456700        8.0855497734
       -1.7070555101       49.8834384594       24.4984654748        8.3798411579
       -3.4121206698       49.8834384594       24.5020193474        8.3206982832
        0.0000000000       50.0000000000       24.4972788621        8.3995871602
