       pos                  sx                  sy                  sxb                  syb
      113.4202014333       49.8964391389       31.8506129869      -51.5955286625      -13.7925430883
      116.4053535717       42.4217864628       32.7978669108      -51.7812269388      -14.5415571868
      119.3905057102       36.0284007830       33.2160269559      -48.4362572270      -14.1284757382
      122.3756578486       31.7656346628       33.0200770094      -42.6932989464      -12.7458377383
      125.3608099870       29.0425892462       32.4328814626      -36.2378165364      -10.9817917929
      128.3459621255       27.3597240243       31.6301696517      -30.0143875260       -9.1809359727
      131.3311142639       26.3407744954       30.7349303708      -24.4499975124       -7.5194409969
      134.3162664024       25.7242270484       29.8249640114      -19.6651424000       -6.0640899829
      137.3014185408       25.3409022888       28.9439906547      -15.6202991553       -4.8216727223
      140.2865706793       25.0881151440       28.1127204157      -12.2099780043       -3.7701297374
      143.2717228177       24.9075739161       27.3376956598       -9.3154874374       -2.8779468933
      146.2568749562       24.7682746697       26.6177422602       -6.8302903635       -2.1141013067
      149.2420270946       24.6548490265       25.9481210649       -4.6688668422       -1.4523762401
      152.2271792331       24.5600456215       25.3230175663       -2.7668889927       -0.8723763144
      155.2123313715       24.4804306002       24.7368083017       -1.0776707671       -0.3589768886
      158.1974835100       24.4140622078       24.1846147977        0.4323041121        0.0987977878
      161.1826356484       24.3594583951       23.6624198762        1.7874158860        0.5089307285
      164.1677877868       24.3151946348       23.1669986859        3.0060163638        0.8773695888
      167.1529399253       24.2798492259       22.6957654718        4.1025847011        1.2087281784
      170.1380920637       24.2520436228       22.2466240595        5.0891029290        1.5067544025
      173.1232442022       24.2305166606       21.8178365060        5.9758736572        1.7746211654
      176.1083963406       24.2141656817       21.4079284007        6.7719781999        2.0150956276
      179.0935484791       24.2020671453       21.0156199772        7.4855254965        2.2306342526
      182.0787006175       24.1934675064       20.6397820880        8.1237914515        2.4234358073
      185.0638527560       24.1877647417       20.2794059429        8.6933084435        2.5954737648
      188.0490048944       24.1844807833       19.9335839339        9.1999359237        2.7485194428
      191.0341570329       24.1832366152       19.6014954093        9.6489257660        2.8841619625
      194.0193091713       24.1837287684       19.2823963722       10.0449861764        3.0038270067
      197.0044613098       24.1857116973       18.9756106007       10.3923438469        3.1087950040
      199.9896134482       24.1889835384       18.6805222057       10.6948025624        3.2002183261
      202.9747655866       24.1933764115       18.3965688010       10.9557967475        3.2791371943
      205.9599177251       24.1987490168       18.1232355184       11.1784390195        3.3464939233
      208.9450698635       24.2049817365       17.8600496016       11.3655615842        3.4031454495
      211.9302220020       24.2119727850       17.6065757024       11.5197517746        3.4498741394
      214.9153741404       24.2196355124       17.3624117477       11.6433823685        3.4873970604
      217.9005262789       24.2278960782       17.1271853776       11.7386374026        3.5163738793
      220.8856784173       24.2366916412       16.9005508553       11.8075342094        3.5374136134
      223.8708305558       24.2459686809       16.6821863924       11.8519423057        3.5510804056
      226.8559826942       24.2556815944       16.4717918165       11.8735996673        3.5578984959
      229.8411348327       24.2657913805       16.2690865171       11.8741268127        3.5583565127
      232.8262869711       24.2762645188       16.0738076240       11.8550390342        3.5529111964
      235.8114391096       24.2870719380       15.8857083696       11.8177570383        3.5419906328
      238.7965912480       24.2981881439       15.7045566085       11.7636162096        3.5259970674
      241.7817433864       24.3095904394       15.5301334649       11.6938746718        3.5053093528
