n		def1		def2
1		-52.6809491003		-60.1655490243
2		-52.2731461165		-58.9070295558
3		-51.9909171231		-57.8673523734
4		-51.8203739038		-57.0235565509
5		-51.7493613785		-56.3554759886
6		-51.7672136199		-55.8453514222
7		-51.8645483028		-55.4775030168
8		-52.0330928799		-55.2380530347
9		-52.2655370589		-55.1146900689
10		-52.5554071752		-55.0964679256
11		-52.8969588634		-55.1736334990
12		-53.2850850782		-55.3374790009
13		-53.7152370382		-55.5802147211
14		-54.1833560853		-55.8948591530
15		-54.6858147948		-56.2751438574
16		-55.2193659497		-56.7154308725
17		-55.7810982207		-57.2106408369
18		-56.3683975786		-57.7561902852
19		-56.9789136231		-58.3479368211
20		-57.6105301372		-58.9821310711
21		-58.2613392829		-59.6553744911
22		-58.9296189427		-60.3645822367
23		-59.6138127844		-61.1069504251
24		-60.3125126907		-61.8799272132
25		-61.0244432422		-62.6811872011
26		-61.7484479934		-63.5086087369
27		-62.4834773119		-64.3602537603
28		-63.2285775853		-65.2343498702
29		-63.9828816285		-66.1292743458
30		-64.7456001432		-67.0435398859
31		-65.5160141043		-67.9757818620
32		-66.2934679622		-68.9247469079
33		-67.0773635652		-69.8892826916
34		-67.8671547198		-70.8683287338
35		-68.6623423136		-71.8609081547
36		-69.4624699391		-72.8661202462
37		-70.2671199610		-73.8831337784
38		-71.0759099784		-74.9111809597
39		-71.8884896393		-75.9495519817
40		-72.7045377672		-76.9975900843
41		-50.8174930013		-58.8786861898
42		-50.3027747109		-57.4510663241
43		-49.9215212861		-56.2545672078
44		-49.6590764514		-55.2650417794
45		-49.5026075376		-54.4612770061
46		-49.4408490589		-53.8245867899
47		-49.4638866799		-53.3384684578
48		-49.5629745181		-52.9883117975
49		-49.7303800804		-52.7611517035
50		-49.9592522018		-52.6454571688
51		-50.2435082063		-52.6309506900
52		-50.5777371926		-52.7084532145
53		-50.9571168944		-52.8697506202
54		-51.3773420069		-53.1074784074
55		-51.8345622321		-53.4150218463
56		-52.3253285867		-53.7864292825
57		-52.8465467540		-54.2163366780
58		-53.3954364620		-54.6999017723
59		-53.9694960265		-55.2327465063
60		-54.5664713372		-55.8109065595
61		-55.1843286708		-56.4307870262
62		-55.8212308131		-57.0891234056
63		-56.4755160442		-57.7829471992
64		-57.1456796112		-58.5095555138
65		-57.8303573626		-59.2664841540
66		-58.5283112678		-60.0514837604
67		-59.2384165827		-60.8624986135
68		-59.9596504557		-61.6976477725
69		-60.6910817967		-62.5552082653
70		-61.4318622551		-63.4336000831
71		-62.1812181737		-64.3313727652
72		-62.9384434028		-65.2471933880
73		-63.7028928731		-66.1798357957
74		-64.4739768404		-67.1281709310
75		-65.2511557247		-68.0911581421
76		-66.0339354763		-69.0678373562
77		-66.8218634113		-70.0573220253
78		-67.6145244622		-71.0587927599
79		-68.4115378012		-72.0714915767
80		-69.2125537934		-73.0947166941
81		-48.6304531516		-56.3339522861
82		-48.1471686546		-54.9756292850
83		-47.7900759654		-53.8357880372
84		-47.5456377345		-52.8921259816
85		-47.4019651512		-52.1249927813
86		-47.3485909496		-51.5170299683
87		-47.3762774402		-51.0528657271
88		-47.4768535717		-50.7188554321
89		-47.6430761539		-50.5028603126
90		-47.8685112709		-50.3940580149
91		-48.1474326288		-50.3827799530
92		-48.4747341597		-50.4603712382
93		-48.8458546677		-50.6190697055
94		-49.2567126822		-50.8519011462
95		-49.7036499878		-51.1525883369
96		-50.1833825548		-51.5154718483
97		-50.6929577980		-51.9354409431
98		-51.2297172629		-52.4078731365
99		-51.7912639786		-52.9285812169
100		-52.3754338339		-53.4937667055
101		-52.9802704299		-54.0999788883
102		-53.6040029428		-54.7440786820
103		-54.2450266017		-55.4232067010
104		-54.9018854395		-56.1347549860
105		-55.5732570268		-56.8763419296
106		-56.2579389371		-57.6457899971
107		-56.9548367278		-58.4411058996
108		-57.6629532501		-59.2604629199
109		-58.3813791263		-60.1021851328
110		-59.1092842548		-60.9647332947
111		-59.8459102204		-61.8466922086
112		-60.5905635042		-62.7467593919
113		-61.3426094015		-63.6637349011
114		-62.1014665649		-64.5965121804
115		-62.8666021043		-65.5440698220
116		-63.6375271801		-66.5054641374
117		-64.4137930361		-67.4798224516
118		-65.1949874230		-68.4663370422
119		-65.9807313723		-69.4642596556
120		-46.6464704333		-54.0104516851
121		-46.1918312432		-52.7154913919
122		-45.8567692733		-51.6275180088
123		-45.6287475604		-50.7258779666
124		-45.4967240602		-49.9923226579
125		-45.4509499880		-49.4106883163
126		-45.4827986554		-48.9666239008
127		-45.5846196823		-48.6473589728
128		-45.7496144125		-48.4415050287
129		-45.9717291123		-48.3388849229
130		-46.2455631368		-48.3303859661
131		-46.5662897417		-48.4078330455
132		-46.9295876105		-48.5638787345
133		-47.3315814931		-48.7919078658
134		-47.7687906138		-49.0859544538
135		-48.2380837252		-49.4406291927
136		-48.7366398616		-49.8510560364
137		-49.2619139933		-50.3128165993
138		-49.8116069068		-50.8219013082
139		-50.3836387369		-51.3746663971
140		-50.9761256627		-51.9677959696
141		-51.5873593501		-52.5982684693
142		-52.2157887844		-53.2633269889
143		-52.8600041867		-53.9604529325
144		-53.5187227515		-54.6873426116
145		-54.1907759773		-55.4418864135
146		-54.8750983960		-56.2221502275
147		-55.5707175295		-57.0263588605
148		-56.2767449280		-57.8528812042
149		-56.9923681612		-58.7002169505
150		-57.7168436510		-59.5669846751
151		-58.4494902491		-60.4519111354
152		-59.1896834744		-61.3538216436
153		-59.9368503349		-62.2716313971
154		-60.6904646708		-63.2043376613
155		-61.4500429601		-64.1510127103
156		-62.2151405364		-65.1107974469
157		-62.9853481749		-66.0828956274
158		-44.8456015311		-51.8866192534
159		-44.4171221735		-50.6497214225
160		-44.1021869714		-49.6093261925
161		-43.8891563067		-48.7462590495
162		-43.7677501813		-48.0435326841
163		-43.7288684585		-47.4860616477
164		-43.7644377552		-47.0604189617
165		-43.8672805984		-46.7546278118
166		-44.0310032515		-46.5579826996
167		-44.2498992562		-46.4608954144
168		-44.5188662467		-46.4547619957
169		-44.8333340129		-46.5318475041
170		-45.1892021275		-46.6851859521
171		-45.5827857288		-46.9084931773
172		-46.0107682789		-47.1960908014
173		-46.4701603056		-47.5428397060
174		-46.9582632896		-47.9440817072
175		-47.4726379889		-48.3955883048
176		-48.0110765972		-48.8935155568
177		-48.5715782258		-49.4343642666
178		-49.1523272699		-50.0149447902
179		-49.7516742856		-50.6323458696
180		-50.3681190575		-51.2839069808
181		-51.0002955782		-51.9671937600
182		-51.6469587042		-52.6799761252
183		-52.3069722805		-53.4202087692
184		-52.9792985569		-54.1860137369
