       pos                  sx                  sy                  sxb                  syb
       64.3000000000       44.4925231502       11.8784992832       31.1631511700       39.5226654574
       67.2842465753       37.4994188451       11.1488655883       33.9715466097       39.2909731909
       70.2684931507       31.8154344141       10.2673940353       36.0901273939       37.4187980994
       73.2527397260       27.7117799344        9.3473681028       37.5130825568       34.4941773212
       76.2369863014       24.8766133350        8.4499225989       38.4620823611       31.1124153740
       79.2212328767       23.0367442291        7.6106383947       39.1034626353       27.6747462370
       82.2054794521       21.9581003969        6.8481790170       39.5584866945       24.4365935930
       85.1897260274       21.4444709929        6.1701708832       39.9121314055       21.5462976452
       88.1739726027       21.3350147388        5.5772095917       40.2210648554       19.0754361742
       91.1582191781       21.5009130353        5.0655949019       40.5205422799       17.0424032960
       94.1424657534       21.8415448879        4.6291878813       40.8301618603       15.4305087530
       97.1267123288       22.2804875738        4.2606547523       41.1585222045       14.2016201320
      100.1109589041       22.7615800606        3.9522834153       41.5068838019       13.3061993014
      103.0952054795       23.2452171035        3.6965005140       41.8719633277       12.6904544327
      106.0794520548       23.7049847655        3.4861814277       42.2479977108       12.3012201022
      109.0636986301       24.1246980659        3.3148181191       42.6282109569       12.0890825862
      112.0479452055       24.4958648774        3.1765913544       43.0058059919       12.0101820716
      115.0321917808       24.8155705548        3.0663808524       43.3745894074       12.0270466724
      118.0164383562       25.0847592629        2.9797362195       43.7293212609       12.1087449171
      121.0006849315       25.3068743322        2.9128258123       44.0658663227       12.2305833007
      123.9849315068       25.4868139268        2.8623739843       44.3812084197       12.3735239077
      126.9691780822       25.6301551573        2.8255950754       44.6733761970       12.5234533144
      129.9534246575       25.7426009002        2.8001282130       44.9413170920       12.6703978886
      132.9376712329       25.8296061863        2.7839766037       45.1847465519       12.8077512536
      135.9219178082       25.8961453754        2.7754522649       45.4039915616       12.9315566225
      138.9061643836       25.9465863025        2.7731274683       45.5998411704       13.0398689022
      141.8904109589       25.9846426696        2.7757924778       45.7734117982       13.1322082931
      144.8746575342       26.0133812046        2.7824197085       45.9260314018       13.2091076495
      147.8589041096       26.0352646188        2.7921334281       46.0591439332       13.2717494924
      150.8431506849       26.0522158591        2.8041846609       46.1742336956       13.3216845547
      153.8273972603       26.0656925667        2.8179303860       46.2727680414       13.3606215768
      156.8116438356       26.0767639693        2.8328165701       46.3561561922       13.3902772263
      159.7958904110       26.0861847112        2.8483642709       46.4257216708       13.4122751320
      162.7801369863       26.0944623266        2.8641583887       46.4826858014       13.4280837444
      165.7643835616       26.1019163844        2.8798384902       46.5281598770       13.4389838377
      168.7486301370       26.1087286371        2.8950913747       46.5631438367       13.4460577500
      171.7328767123       26.1149841403        2.9096449790       46.5885295969       13.4501937832
      174.7171232877       26.1207039720        2.9232633888       46.6051074951       13.4521004660
      177.7013698630       26.1258703809        2.9357426899       46.6135746119       13.4523265528
      180.6856164384       26.1304454495        2.9469075058       46.6145440186       13.4512836595
      183.6698630137       26.1343843163        2.9566080551       46.6085542457       13.4492693108
      186.6541095890       26.1376440374        2.9647176348       46.5960784767       13.4464888893
      189.6383561644       26.1401890179        2.9711304264       46.5775331428       13.4430755456
      192.6226027397       26.1419938822        2.9757595725       46.5532857270       13.4391075640
      195.6068493151       26.1430444779        2.9785354617       46.5236616919       13.4346230014
      198.5910958904       26.1433376174        2.9794041934       46.4889505167       13.4296316427
      201.5753424658       26.1428800104        2.9783261859       46.4494108801       13.4241244622
      204.5595890411       26.1416867552        2.9752749118       46.4052750608       13.4180808704
