       pos                  sx                  sy                  sxb                  syb
      113.4202014333       34.5948415581       31.7633077698       12.5764337490       25.3560338302
      116.4053535717       28.5015714892       31.6425785887       11.1788568172       20.2104399265
      119.3905057102       24.4101777463       31.3507809313        9.0827791900       13.6399984974
      122.3756578486       22.7969451130       30.9693029929        6.8793088598        7.6729573621
      125.3608099870       22.5903158275       30.5719722703        4.9179813122        3.1634015789
      128.3459621255       23.0336033850       30.1883016285        3.3009861077        0.1772297818
      131.3311142639       23.6630327796       29.8239462820        2.0018166525       -1.5733179052
      134.3162664024       24.2377022304       29.4741097749        0.9436486289       -2.4694053323
      137.3014185408       24.6634839679       29.1311128041        0.0441604804       -2.8538515113
      140.2865706793       24.9297932312       28.7880187802       -0.7637576747       -2.9817947178
      143.2717228177       25.0648720478       28.4399014208       -1.5261285275       -3.0172185938
      146.2568749562       25.1082564242       28.0838964579       -2.2697365464       -3.0501638209
      149.2420270946       25.0963723459       27.7187630438       -3.0069818720       -3.1194682247
      152.2271792331       25.0568244524       27.3443424557       -3.7410487469       -3.2332889572
      155.2123313715       25.0076736219       26.9610997276       -4.4701403699       -3.3844615870
      158.1974835100       24.9590620939       26.5697963195       -5.1904228779       -3.5604485345
      161.1826356484       24.9155478387       26.1712917145       -5.8977868494       -3.7488657690
      164.1677877868       24.8782783558       25.7664377623       -6.5887178277       -3.9399216430
      167.1529399253       24.8466526967       25.3560367736       -7.2605886527       -4.1269854437
      170.1380920637       24.8194174531       24.9408318409       -7.9116315667       -4.3062055617
      173.1232442022       24.7952887271       24.5215143341       -8.5407709536       -4.4757796855
      176.1083963406       24.7732353254       24.0987341935       -9.1474261218       -4.6352162687
      179.0935484791       24.7525536252       23.6731103701       -9.7313393553       -4.7847409680
      182.0787006175       24.7328331634       23.2452369700      -10.2924488808       -4.9248876077
      185.0638527560       24.7138807936       22.8156871797      -10.8308064947       -5.0562543198
      188.0490048944       24.6956410238       22.3850139035      -11.3465306725       -5.1793828253
      191.0341570329       24.6781313716       21.9537495980      -11.8397838714       -5.2947172086
      194.0193091713       24.6613971768       21.5224047912      -12.3107640591       -5.4026064832
      197.0044613098       24.6454848822       21.0914669509      -12.7597031461       -5.5033260927
      199.9896134482       24.6304287852       20.6613991181      -13.1868676695       -5.5971033070
      202.9747655866       24.6162470234       20.2326392253      -13.5925592380       -5.6841389788
      205.9599177251       24.6029423567       19.8055995100      -13.9771137297       -5.7646229989
      208.9450698635       24.5905053344       19.3806665152      -14.3408991168       -5.8387435514
      211.9302220020       24.5789177656       18.9582011999      -14.6843122081       -5.9066914808
      214.9153741404       24.5681559094       18.5385394408      -15.0077747431       -5.9686613847
      217.9005262789       24.5581927921       18.1219925921      -15.3117292326       -6.0248508424
      220.8856784173       24.5489998734       17.7088482791      -15.5966348541       -6.0754588252
      223.8708305558       24.5405480052       17.2993712097      -15.8629635945       -6.1206839442
      226.8559826942       24.5328080298       16.8938041187      -16.1111967456       -6.1607228925
      229.8411348327       24.5257510428       16.4923687091      -16.3418217881       -6.1957692185
      232.8262869711       24.5193485598       16.0952666629      -16.5553296587       -6.2260124446
      235.8114391096       24.5135725680       15.7026806382      -16.7522123730       -6.2516374818
      238.7965912480       24.5083955928       15.3147752953      -16.9329609688       -6.2728242695
      241.7817433864       24.5037907329       14.9316982993      -17.0980637315       -6.2897475725
      244.7668955249       24.4997317258       14.5535813259      -17.2480046687       -6.3025768836
      247.7520476633       24.4961929941       14.1805410356      -17.3832622061       -6.3114763933
      250.7371998018       24.4931497084       13.8126800319      -17.5043080792       -6.3166050034
      253.7223519402       24.4905778303       13.4500877839      -17.6116064004       -6.3181163686
      256.7075040787       24.4884541600       13.0928415194      -17.7056128824       -6.3161589583
      259.6926562171       24.4867563624       12.7410070779      -17.7867742041       -6.3108761356
      262.6778083556       24.4854629900       12.3946397288      -17.8555275022       -6.3024062519
      265.6629604940       24.4845534907       12.0537849474      -17.9122999763       -6.2908827538
      268.6481126325       24.4840082108       11.7184791510      -17.9575085945       -6.2764343010
      271.6332647709       24.4838083847       11.3887503948      -17.9915598884       -6.2591848960
      274.6184169094       24.4839361241       11.0646190266      -18.0148498264       -6.2392540187
      277.6035690478       24.4843743980       10.7460983011      -18.0277637542       -6.2167567695
      280.5887211862       24.4851070109       10.4331949557      -18.0306763960       -6.1918040152
      283.5738733247       24.4861185762       10.1259097475      -18.0239519055       -6.1645025394
      286.5590254631       24.4873944886        9.8242379539      -18.0079439601       -6.1349551905
      289.5441776016       24.4889208925        9.5281698381      -17.9829958908       -6.1032610302
      292.5293297400       24.4906846532        9.2376910800      -17.9494408433       -6.0695154822
      295.5144818785       24.4926733249        8.9527831745      -17.9076019636       -6.0338104766
      298.4996340169       24.4948751167        8.6734238007      -17.8577926025       -5.9962345913
      301.4847861554       24.4972788621        8.3995871602      -17.8003165360       -5.9568731886
      304.4699382938       24.4998739884        8.1312442892      -17.7354681971       -5.9158085483
      307.4550904323       24.5026504826        7.8683633451      -17.6635329162       -5.8731199947
      310.4402425707       24.5055988617        7.6109098684      -17.5847871666       -5.8288840198
      313.4253947092       24.5087101440        7.3588470229      -17.4994988130       -5.7831744016
      316.4105468476       24.5119758211        7.1121358140      -17.4079273605       -5.7360623148
      319.3956989860       24.5153878290        6.8707352889      -17.3103242022       -5.6876164375
      322.3808511245       24.5189385221        6.6346027182      -17.2069328655       -5.6379030535
      325.3660032629       24.5226206462        6.4036937612      -17.0979892534       -5.5869861490
      328.3511554014       24.5264273165        6.1779626159      -16.9837218802       -5.5349275018
      331.3363075398       24.5303519951        5.9573621542      -16.8643521024       -5.4817867677
      334.3214596783       24.5343884674        5.7418440458      -16.7400943423       -5.4276215612
